company,job_title,location,company_rating,job_age,job_link,run_date,oppurtunita_carriera_x,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
QUIRICONI PROGETTI SRL - SOCIETA' DI INGEGNERIA,Architetto Navale,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3f80fc51&cb=1676655342726&jobListingId=1008298792619&cpc=2B30C664E96001FC&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-764a4f08fb797335--6NYlbfkN0D9IG37mHYvBCp5KjX7A2_VTaEH3nIUfIZ0TbIySnUZZxViilKM1VSM9ADWoYt90QSWm8eLtsTLGKHGRVinUMB_qLoS3JFzN_4KiPjuhDWtBr5cYm059Q73cmzmIPwKTgNcvI_qNFsnHeoVhMF40ff7pXvkg6QdUZwc3KPRxLTJJIGIpshUGhqDz5VW1sKxT4Zh-AmFttaayKz2ydTRGWWLYiFJ791N8NrIwUNGy8mMDIkHcStOUxFAEh8aXn-GrMubxq6RF2B8NZGCQKqSlouQ2HPSukJbUSX9k7bXlRDG4wYxwchoUYbfdpmuEh_Yhr2Q075AoKdloHHseI4amWoky7bEb17hg3WzL7Mvha99FqknvuQ809KiUSuVtEBmx5UOddvo4gl3liqhcjJ4cW6axACyOamzex-u9rogfqiKYqhsakoCJtjNDtsb9CoiDI_SHLMTs6TuEohWlP1iUqNJCsJUGCPL5nzZlk47pXVupnLkG-xcMKRRduSzQmWLB2YLPGQqE6X4BmzKdbYGA7g11JTalflL0lvtujXHUOplaVZ0ABNxnRm5LMRm28sbLOsHC0K7S5Zh6Z_QMbLtjhRs,2023-02-17,,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-17
GIGROUP,Receptionist,Italia,,17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&cs=1_1c825f40&cb=1676655342725&jobListingId=1008438720953&cpc=77D8CEE05F182B4C&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-59e3784b67a66490--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0PIv2yFvvZBUQmnwYC25AuHKYR9d4ZHH6sw26QlmogGLJU4nxGG4wx5vqofzdaWnDW3XWH4T0ww-Hd0-KSbbduYgREy9D0UFpvwpZkJQrULsa-g8iY5p1RuovLlfZ2nw_1h8T7wTrzdmoHqYhhi9fXX78v7JNzcj8zO_WhKdmYEqSFMuGAasv3yRZ3yRsTzCJkpaHAUGgEwDDrFLimCpdqbwDnFSm6LuRZiRLzPgw8d5-PFlMzLNs9ApmQ60qV0fm9_lpj85oP0Xl6Im088eujCSasAOG_xUQVnvEpiTSkZ5NkXd2cZQecgQo-I88HlVvVae_Gm1gyYZ5sSSVxE3cXoxq4O028Mqeh6EWvP4ynagOuEw7N_rbD2HlnxIVwwms4aAsDo8BXVOjUeTlWcEG6C0fXKCpvbTulTJxPpU5Jfrb__YNBvMeIRKVDQxu0TomQN1yiLzd_uQrgU8y41RlSfrYBCEXgBIreARod8BBCdCBJYi9_fKSzMwPue20U1Hd1ueLsiCCm6ejtg9xt1zuv4UEy7KHeZqGee8CKzbPlbYr5DBYglAaj_-S_kaXQBjhZjhMGQeEg1bbQPjKUWjj3FwLXwoE3-cpo9Xaezu3d2tgAVbMMDhqoZ8dT0bnzk4hUQ5FbHvxhVDiI0DMd91bneUiiuPD2brMYTm93qUKCKqeCkkIkzZ0efRoX7NKcMebwBNq34j3PtKlbRl5zhgJVaMNNAJ6Py2a7Awgn_pn52_PP5rD7EAyctN_gqAaAv8IWrPdcpeAt7rg_H6Yt1_tSNtATQGTzD9g_9UoLyMhZ-KP7sOzFuSmjSmJH0yunLg5X3mMMFuiklPFsgeHlCQ9BUzVP8MqVmueqZ0j9n6onQdo8jVZ9yzOFQmUCeNe7LREQZW9vj68If6OHnRcg-xVbeVUjsuOTM8oNk3Z_aei7wkKcvLCrUq9JgZdE6lAqKvW4XCyU3k2T3fBNPEyOIeNJwg4_erigTIdGWCSIlspWnyxPuKcFMu2WbQQGuSIP0MO9zP8DxgPwtO-4jFoMpt-yOoDgsZ0sz8joqqBLsLWL5ewz74H8SZ6O-PkanXPaU-3iyZPSoPTcC7UzT-NbOSMIH3zrlwakEfxY30Ui5SOgkzp0dt94T72nvpqks-CHxdYXQj0IGbVQN4AAK-sOAYy9-cObZgqyT1cGSJCG-M8vxy93bhx5ZzQOwXZMB1iQSf2KJE6rMWeTW2,2023-02-17,3.2,3.2,3.3,3.7,3.4,3.5,"Milano, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1998,Consulenza HR,Risorse umane e selezione del personale,2023-02-17
Takeda Pharmaceutical,Lead Maintenance Technician,Italia,,3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&cs=1_e4df87ab&cb=1676655342726&jobListingId=1008469854501&cpc=52707B81699D15F2&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-939b50c95f5c6ed5--6NYlbfkN0Dpk2nRRB2qCzcWtelMs6RnOpE2QQykp_Gr47Tac0r5hLJY1tCAziAL0HFUb0VPmGbPLrGrZYiFMqw7bwirlrlzV6YgFCLdOFiCv74HM3WsOP_Tbc-TylLbFkkSLo1CgozbIFCeJa3Tx1uqYfjcpM4dr7r4maHtWQhemTjEyJMGvIaGEOQ2wRHl5OvpSXbN32IDA9UV2uZsUTlavQGWkE81g_BxKY1GX1VTr6x69cta105U5GgskTGpTsgSxsDGNSnTj40xaJ-F7FON5bROPh2N965SPw6Um04_Av6QTzPLIVFLBXnPXOJtPdr3Eg61HI9AYVeaNHvh8SOdfYTdoaywKWgufwa0klF_aSNsx2z_M-0yDJEocxM7TD3ESF23UHn00I_RxIQVb2A2pj8voJuC_gWkm2gwH7boSH113slL9m7RL1CPAooa9iXIKA8Ij_EiLaUkqRxfV8bZizSZ_KxSGglcVc_ryADPIhA_eFUdIOiD05--TcMDZ6t8oD4XFzEypXKhw4fFQ0PStwGYnKij,2023-02-17,3.7,3.7,4.0,4.1,3.6,3.8,"Tokyo, Giappone",Oltre 10.000 dipendenti,Azienda - Settore privato,Più di $ 10 miliardi (USD),1781,Biotecnologia e farmaceutica,Farmaceutico e biotecnologico,2023-02-17
CISALPINA TOURS,Senior Travel Consultant,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_79e56064&cb=1676655342726&jobListingId=1008409151482&cpc=24BF2F2386F532EA&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-58ddcea5c4ad54b5--6NYlbfkN0DDciKe2jXGefLqdJbm6YVj_SHyleaBFbe3BD2NzrDk6TgdTz6qBKS0kwaS3YgvmXZ74uF5HRWb77axP_tbz_DMoxN-Np3VJYLBryZ6FuQwc13TQ4iuTmOPTOG8ZQ8h9TaNQ9VOsI3WcVtixHHRXq8C3ubLeZ_SZsoUllbKrrfxL1et72y8Df-mn953jc6J0TDjhE9qh7Fu6W9oGMZ1R-rCfehZRhKgSQX6auGYvnEKm4WMkLujjlzVSH4Mr5X67pDbaKHUN-oXpeut5nzH6FWGVdihg-v72JVXRiGloLNEqQCiUpCetGuJsbsernibNWgtsrhpo-MPa2cTnL6xzyXOrkkNllpgqD5UEYUTfcSN72NwTXy4X8eEcCgY7Rl-9fe7833z4cVNYHfQ8yizFhdiXtDkoTgQ4cbeUWiVRBxNsh0kJMd66J9p2ORVLkJUzbGHpZrT10gBnnoP1DUpDpfzKah_k_igVQF4sfheefxPQGOrFCenLnJwKaWvZ4x0DbRnx36ErArksslN1tL-0Eid1p-xvoH7h1wTH_eSMDApRIfztXChF5FLC_n0Bzrk0sAerAvI3d9E9LFgSVYYsRMyROLlxMHAW_r5LgNSq-PWNQ%3D%3D,2023-02-17,,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-17
Seitel,Operatore,Italia,,25 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_54910c81&cb=1676655342726&jobListingId=1008423909112&cpc=93CCCA89DF0F0025&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-3e87ddb9bc32e586--6NYlbfkN0C0_pO5fwfA11ptQjlM-eoUyFF-RuimpG5Su7y4ibtR0s8fcfwGh8I2fvWkZlg-gOEJ5LotB4wGEA2sYEm-2zeKmX6qTXLILy22gy-oqBeZd8L3L9KxW7t-fBE5Qls5mjaPwyEGZijIVJ9sWfn8JsW3ZFw9WW7k4Qe6hZlO3F6XKmlegyNCVYpCDkmc2YoLtrXgqhvhyO_F6DL7PWCdWJ7wlQJ-f63mrA2W7020VWL4dge1r6nynKN9wpuQ6klTuYE4iAXGrRdui_lb9I8w7qi_se90cCIfuC3GkIRLApa_fT4FtjiANIkHMyINsQvpQmAl6qs9JM4-HCF18GwWEDSdMTC_1mkJ9czbDUDClJ4GEfZgw6yZ_HDKB4dQvbGVdGL7AjA27mrd5lRccXI86CldRK4Rmz9bIxQ1RzDLK0IdWd6cj1_Vg4RiyJpT85Y4psgHvV2yij36HbLm8dfT9_SJ9ygKfXdhNXE89Az5GZetW012ZDNqk2Hnp_wGI6RPXn805Vjroxrbqo0W1aJDYMI1Rrki_1zppxlQpf4K7kZT3Bel2uvH0LwStz2t69Wlv3G6n_8ACqXXB6yX2jyvFDlG,2023-02-17,,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-17
Facile.it,Responsabile Commerciale,Italia,,23 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6235f1cf&cb=1676655342726&jobListingId=1008428542710&cpc=0AD3DB1A95BF4639&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-d90b01d2cce8f950--6NYlbfkN0BmDrR7OGR9gJmF054fDOj_Irftsb9Ib-ykftL4-GTXRFTKRWP4aEhPdtGYU0uzziyByPg69YTdLB_wmNeNFALZE5oakkD4X2XkT68KZotHPZqZNHLQUdCJb_f11i6GOGrAO4xUfg8y2ngi-iiQRcnirfRGwXOzcchJAGmkHgZpdXN0dTPTMR_cX9XScCRgznCobsXKEQhYAIPqO80iuOfXU4Myw82DvNv-ASlXk_GjkCucu8VX3qxCp6k98mifoeE4lotgN7bk5dn6PcobwSzHPLK2_B7q1dnNzHWmetCsF0stbbkySPon10zBjPsKXwxeJhQOnqM6CFR9fSe17PaEDbFgUa6nJpHo8S4IXLsIgmRCSc-rvMVQ8UIM2292ltCeVvuon5CF2_q6xz1EcZFUwfN58bkt1qbroa8RRIEcaVEilblVXX4SC3cWGEBoTsE3s96TRILNTPDwbC0NSOIGvjL5v2RT9KJxBpOrWdsA42J7t9flr6en4NgHL-b8HpxSAHoAWkLTya_1mixi32Q9WVa4jD_KMTXk3nb9suvPmwaa8UysD9YMNtCwPXJG29Tpq_HcElWG5fQLzTSpg9-dD4Vj-juLTEWxj_Ek2sW9ONB66gLjBRsk_QBz3TO7Ao3u6qeYF9UQDwIj1bY5UhSG,2023-02-17,3.9,3.9,3.2,4.1,3.8,4.1,"Milano, Italia",Da 501 a 1.000 dipendenti,Azienda - Settore privato,$ 100 - $ 500 milioni (USD),2011,Servizi Internet e web,IT (Information Technology),2023-02-17
GIGROUP,Receptionist,Italia,,17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&cs=1_89f341c6&cb=1676655342726&jobListingId=1008438720955&cpc=31D92C3C5F3D4D46&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-f2975fa514901b15--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0PIv2yFvvZBUQmnwYC25AuHKYR9d4ZHH6vMPQ1I0ezaxWt3AshGhtDgQvpgcPqb2ncftIsqVYN2qp1v5vJLXkQw5BpPzo-5iF4G240W55lmkCO8WLiLf8lAsoTQClX-zeLh_tJivoZdTrX3o7gHTd0CJYqccEXpjTEQwMpWCAzkxOktiFvUrfydIVQzg8pDyXEHYrlaZCD3gnGAkBx49JDvRJmpO3_PPXCS5ohouVLAor_ObdJfB0M6hq4D8-rKDB7kX564I82ZqAow9oX73yMkh87cBbtIjdrP2eqpDVzvfE3kkTgzgOIbfq-yG_DGav0K2ToCnWvg4AMFDRwqP2bGCwvuZKZYYrYqpFMTYtVOodv-w-y2rhTyaady8wXIVQSj6YUSFbXWTsWH8P6UWoW2peGaQUzadTyXQv4w1eRgu470rU_LfS_YAepoOQllH0qKBSfePhFAmw3kA5AIqzxQRDDzZnffto6dRPER5V4MgKWk0YEUyOJDoOSndyIGFlv2RhMwrp54rNNhQrDbnfhjk-ASvVa-aNJ_i6fRj4xzp62Y0zKV4J5K7BBdcO6eXOuTuEG1pd2oy4TSZD5PXFJdwiNiHYRqudEc3uYfCwAVYqIVsSDBf3d6fO57vbznNM_cx6J34f5jUbvZcG3dEhU9DkJBMb2DFspDayqp7jS9Z1TlM-U_dFIup230oUv9k36BgH6-Pf7OjRSb3KVKxrgchzBb0jdcOO5x0Zlodgtz-_yqyFis_E7ctNnphpYOuGSpTJMd9KZnoJDnJ3IsdhKNjEeBiabHUl_6gBMCYuOG4TdOo15RQr67C8bVzJITPFziZEqj9ABDzBwNwne9kIcqU9BURurdSPDk0aM6fQ-v28p5lTm9D2Dr1FGPifda3oU2JLsGDb6GxolgpVFMqrCMvQApElff42SlJgd0jfiS5RjB8cQkkPvnSDmIXXZgmDe-zApZ4z690TGTWQyyW23YA_lLtwtXJ7HB2F9vOpgmOluoU80O46I-oE_n4KJM6-Zn76j1ujzc_ftF0aBqVedlVxB22IDlMJdMsv7YC02-FPib1Z0emtW7gacHx_Ifawc-VlzACkZ8WWAT5jWc0Is9o-DX7reH9P6zLOLjW6cZmjuEnw0gElpMVr-KW340eM5ot4gxJJkI1qfkHkbsbm4cZWoMJZ425Q9MKO9xDIEC-KDBQAdnY6eNllAndn_kPpR_Ec34PDPQv,2023-02-17,3.2,3.2,3.3,3.7,3.4,3.5,"Milano, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1998,Consulenza HR,Risorse umane e selezione del personale,2023-02-17
adecco,Sviluppatore di Software,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&cs=1_c98b599c&cb=1676655342726&jobListingId=1008379688999&cpc=FD56AAAF1899B499&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-1f96cc6f5361271d--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK7AudwSoZPw7WBp2f7O1lnD3xgj6K_AnaNsO6REcNyRkRpeOWTAJdBSVLb3JDx8-dIq7pxPdkyuX6IRbRBJe91lWbM9tSKsPDlfi5YL5hnLFPSHmdhdQP_oCJBp-M0PoM038PPfvdQJBpR5VaLYOm4tciAUXsN65EZmSwpQh1-Xa69OGyVCHrfPC8se8SSiBNxLwAZc6s3shLigRMEfy8WWnCuhRzinlpsZ2GXFPZkqk799HdL2uv_HK9kcIg_qJ5uqJd1JQhBcmnWxlpMzrv0JnV0ImeAehGBpF7g4boy0t87O7qAdGuZknBiqhK6ognbqyq4ew-qlvC5SHtW2Sghv2m1YJiPnGc4Jbryp_349WfQNo-wF_RFXbXz9TgEM8TfTeEkQjosGkrNiZNl4OJtmRgUnvaVGy1awGN5eapAw8u_fWfyAIfJp_Y0j57PWLfk1cNG-N3um4Z-FWOKvx-hFJdoi7toNpso2qjf-TauStpQccpIOv5AB_xgKLSo_WPO4dv2gmpuKgP5io7mR6WMARVRGT68mnepm5u9LppfW_5p_26hvxrndBLYbqfCkD75m5XEFPb16Vy2DJ7ruEZuTpMcHkFCeqaVM31j_4oTxebz4eo_z75geWdrSciu3s3jHYOEscB2x-X7H9WcmmxP5S75f4-xF2PsmxIVc-YxtaCxJu-2cDRClvciMHfiBezn7J4jzXWtX-UREmRfviDF7YTBkTxo7sU7fc64yumfy1UFY7egcBTHD0tFmIYQDvR2B-emzJMHcc%3D,2023-02-17,3.5,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-17
Gi Group,Operatore Della Ristorazione,Italia,,9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&cs=1_ca3ddf7b&cb=1676655342726&jobListingId=1008457138314&cpc=2187E14FC6F1B769&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-7b58aaf4a3ef29dd--6NYlbfkN0AjN2sC2KrypivsDdZIpLG9Ur4JyJCStDLPXMqBjOCAWTHzBpT2G_v44lcYG9O1Lje8-HA1pO3JNLx65mwS9vLvR_cZzanv6o6i_bGOKp8XC4XfbK7AcXdLGkV7d3SATa5zIJO--CxCHdGipm-6yYhBIjLYcR3dAP-RNJ0vtTbt79fS479tDGHIzF6cLrUvJvdER69-nxnFUxPHc3NZ3s7ciFaSgStVhGI3CM1zdNrgtayGT-a-ABe9pcWjxgft7l5XAfTlfecj7CySGi9WwzYDFFSR8k491nSzKqKbU2LdeHtYd3Ddh5u3_fDN2rzR7bF_Li0M-keypCcH5lxgzLgyAHrM6Jv0H1IJs8BTEp5N0ZI1ukaCEHbau1dzKI1C1fohiqvBZ8lXKbqO10MpBLc8U8ncBoJe1CoheNPN6MChlpRmJdSAb4JP9tV4Ewd-0moXTu1FHkVNOSNnv2Jm5fmLCoMgZOXJFzEK48Q7Mid9dj01Ud3IyjMdRWtEE4oFsgoMsc96_1qzOdJVuzQceSGpT2RNPBpIQQ7Hshf_e39e-PJtcMehy57SGNZFfLnPK_bmqZHwUY8BJeXsYVEXQrFAiDRHYuLiR2TvvxM6HCIPhZQpXS7eL-qJ6Ezn0S_uv6CDnlHb8EUJmN1N65x1i6NVvXSeRcoScP3-r6eF_KjAQ8ts6lSBNYzAADcG8WXST3pd18gISa0YBDBFYgmf2U3db8kmBawcmXnckB4TDt93HSJhXz7HawoC2QDAjr85wYDkXOtCln9semRSuQ43tENKTJ3Y7eoOB44vtWTfEyj1RFmi5y_5r85n,2023-02-17,3.2,3.2,3.3,3.7,3.4,3.5,"Milano, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1998,Consulenza HR,Risorse umane e selezione del personale,2023-02-17
STMicroelectronics,Digital Design Engineer,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018660723314b58a17f9dd40be17&src=GD_JOB_AD&t=SR&vt=w&cs=1_38f26a3a&cb=1676655342726&jobListingId=1008301315650&cpc=C6B4EF5A80B9F897&jrtk=3-0-1gpg74cq52jq7001-1gpg74cqoi9ic800-da77b1cc15e5a0c5--6NYlbfkN0DAv-knXWXtWP4BSZ5vXP1CKdoDUf5S6mXEs2UdONmIWlVd8a84ouEntKZlEKwwLXNv4GDy_TU9L636ScSklayoVTq3w6ZBPaRSEFHIgGJ1MR57yip0q1dldvqtmiCZGIAPrOowcRPyZLiHNpTGc8wI484DW13ykdNrx18S0JwpHcVpgzBWAhFayPm1-_VnytF4VilKKB-bhp2q6PwUZLG0dOi5WsP8wo7Nh27-qJ_q0cNaPUSYYuGb013Z1e9uRxSxRO47Y9UYWMKv-S5mso1APaKeMPlvamYEH6BjQPcQf75tLovHsiIofgN9yRimAgjJYvhDLCfklVZo0kVTDrg5v-kbyrAijmORNBKUl6Alk1pOB974Fhln-eTlw1yRpSDe1OWhEKL4OuVHTmVeJRdE6fOcx0CnsQjSu3LrrlvxBl7s0t-uOjlgF33cROLTEQB2IxbDtDQTwwXM4t3Aftetlam3K7koTuooH-REUAV9HZwYyPleKvr5lQEfB3-s8bsTcU8df3e4YSN-AFIF9eawe7TaKnlTVk1iATpsoEJZdlLD_kujDQe_ZJ3tSrtTA6ZJrgvLnbmiJIPCbmCoSARl_H6-Xls8oqCHZPR_IiMYj7qweHIxDjix8VNpb2Yuuz8MlKKumjAeIV_lYm68sXrY,2023-02-17,3.4,3.4,3.4,3.8,3.3,3.9,"Geneva, Svizzera",Oltre 10.000 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1987,Produzione elettronica,Manifattura,2023-02-17
